"","Description","variable","value","sample","Genotype"
"1","Polymerase Reads","Targeted_Seq_2_ccs_report.txt",391474,"Targeted_Seq_2_ccs_report","Batch"
"2","Polymerase Reads","Targeted_Seq_1_ccs_report.txt",712231,"Targeted_Seq_1_ccs_report","Batch"
"3","Polymerase Reads","Targeted_Seq_3b_ccs_report.txt",383283,"Targeted_Seq_3b_ccs_report","Batch"
"4","Polymerase Reads","Targeted_Seq_3a_ccs_report.txt",300361,"Targeted_Seq_3a_ccs_report","Batch"
"5","CCS Reads","Targeted_Seq_2_ccs_report.txt",305633,"Targeted_Seq_2_ccs_report","Batch"
"6","CCS Reads","Targeted_Seq_1_ccs_report.txt",468876,"Targeted_Seq_1_ccs_report","Batch"
"7","CCS Reads","Targeted_Seq_3b_ccs_report.txt",286249,"Targeted_Seq_3b_ccs_report","Batch"
"8","CCS Reads","Targeted_Seq_3a_ccs_report.txt",221191,"Targeted_Seq_3a_ccs_report","Batch"
"9","FL Reads","K17.flnc.filter_summary.json",63911,"K17","WT"
"10","FL Reads","K18.flnc.filter_summary.json",80152,"K18","TG"
"11","FL Reads","K19.flnc.filter_summary.json",64605,"K19","WT"
"12","FL Reads","K20.flnc.filter_summary.json",71760,"K20","TG"
"13","FL Reads","K21.flnc.filter_summary.json",69081,"K21","WT"
"14","FL Reads","K23.flnc.filter_summary.json",66101,"K23","WT"
"15","FL Reads","K24.flnc.filter_summary.json",29870,"K24","TG"
"16","FL Reads","L18.flnc.filter_summary.json",20190,"L18","TG"
"17","FL Reads","L22.flnc.filter_summary.json",32542,"L22","TG"
"18","FL Reads","M21.flnc.filter_summary.json",33355,"M21","WT"
"19","FL Reads","O18.flnc.filter_summary.json",33567,"O18","TG"
"20","FL Reads","O22.flnc.filter_summary.json",29943,"O22","TG"
"21","FL Reads","O23.flnc.filter_summary.json",31059,"O23","WT"
"22","FL Reads","P19.flnc.filter_summary.json",27325,"P19","WT"
"23","FL Reads","Q17.flnc.filter_summary.json",17109,"Q17","WT"
"24","FL Reads","Q18.flnc.filter_summary.json",40529,"Q18","TG"
"25","FL Reads","Q20.flnc.filter_summary.json",33256,"Q20","TG"
"26","FL Reads","Q21.flnc.filter_summary.json",29389,"Q21","WT"
"27","FL Reads","Q23.flnc.filter_summary.json",23192,"Q23","WT"
"28","FL Reads","S18.flnc.filter_summary.json",34942,"S18","TG"
"29","FL Reads","S19.flnc.filter_summary.json",29302,"S19","WT"
"30","FL Reads","S23.flnc.filter_summary.json",30706,"S23","WT"
"31","FL Reads","T18.flnc.filter_summary.json",30665,"T18","TG"
"32","FL Reads","T20.flnc.filter_summary.json",32097,"T20","TG"
"33","FLNC Reads","K17.flnc.filter_summary.json",61189,"K17","WT"
"34","FLNC Reads","K18.flnc.filter_summary.json",77346,"K18","TG"
"35","FLNC Reads","K19.flnc.filter_summary.json",62077,"K19","WT"
"36","FLNC Reads","K20.flnc.filter_summary.json",69387,"K20","TG"
"37","FLNC Reads","K21.flnc.filter_summary.json",65597,"K21","WT"
"38","FLNC Reads","K23.flnc.filter_summary.json",63755,"K23","WT"
"39","FLNC Reads","K24.flnc.filter_summary.json",29438,"K24","TG"
"40","FLNC Reads","L18.flnc.filter_summary.json",19891,"L18","TG"
"41","FLNC Reads","L22.flnc.filter_summary.json",32096,"L22","TG"
"42","FLNC Reads","M21.flnc.filter_summary.json",32875,"M21","WT"
"43","FLNC Reads","O18.flnc.filter_summary.json",33053,"O18","TG"
"44","FLNC Reads","O22.flnc.filter_summary.json",29470,"O22","TG"
"45","FLNC Reads","O23.flnc.filter_summary.json",30533,"O23","WT"
"46","FLNC Reads","P19.flnc.filter_summary.json",26915,"P19","WT"
"47","FLNC Reads","Q17.flnc.filter_summary.json",16838,"Q17","WT"
"48","FLNC Reads","Q18.flnc.filter_summary.json",40007,"Q18","TG"
"49","FLNC Reads","Q20.flnc.filter_summary.json",32783,"Q20","TG"
"50","FLNC Reads","Q21.flnc.filter_summary.json",28974,"Q21","WT"
"51","FLNC Reads","Q23.flnc.filter_summary.json",22693,"Q23","WT"
"52","FLNC Reads","S18.flnc.filter_summary.json",34498,"S18","TG"
"53","FLNC Reads","S19.flnc.filter_summary.json",28853,"S19","WT"
"54","FLNC Reads","S23.flnc.filter_summary.json",30239,"S23","WT"
"55","FLNC Reads","T18.flnc.filter_summary.json",30290,"T18","TG"
"56","FLNC Reads","T20.flnc.filter_summary.json",31653,"T20","TG"
"57","Poly-A FLNC Reads","K17.flnc.filter_summary.json",61121,"K17","WT"
"58","Poly-A FLNC Reads","K18.flnc.filter_summary.json",77213,"K18","TG"
"59","Poly-A FLNC Reads","K19.flnc.filter_summary.json",62012,"K19","WT"
"60","Poly-A FLNC Reads","K20.flnc.filter_summary.json",69311,"K20","TG"
"61","Poly-A FLNC Reads","K21.flnc.filter_summary.json",65539,"K21","WT"
"62","Poly-A FLNC Reads","K23.flnc.filter_summary.json",63675,"K23","WT"
"63","Poly-A FLNC Reads","K24.flnc.filter_summary.json",29409,"K24","TG"
"64","Poly-A FLNC Reads","L18.flnc.filter_summary.json",19871,"L18","TG"
"65","Poly-A FLNC Reads","L22.flnc.filter_summary.json",32084,"L22","TG"
"66","Poly-A FLNC Reads","M21.flnc.filter_summary.json",32842,"M21","WT"
"67","Poly-A FLNC Reads","O18.flnc.filter_summary.json",33022,"O18","TG"
"68","Poly-A FLNC Reads","O22.flnc.filter_summary.json",29453,"O22","TG"
"69","Poly-A FLNC Reads","O23.flnc.filter_summary.json",30518,"O23","WT"
"70","Poly-A FLNC Reads","P19.flnc.filter_summary.json",26887,"P19","WT"
"71","Poly-A FLNC Reads","Q17.flnc.filter_summary.json",16823,"Q17","WT"
"72","Poly-A FLNC Reads","Q18.flnc.filter_summary.json",39976,"Q18","TG"
"73","Poly-A FLNC Reads","Q20.flnc.filter_summary.json",32760,"Q20","TG"
"74","Poly-A FLNC Reads","Q21.flnc.filter_summary.json",28955,"Q21","WT"
"75","Poly-A FLNC Reads","Q23.flnc.filter_summary.json",22683,"Q23","WT"
"76","Poly-A FLNC Reads","S18.flnc.filter_summary.json",34477,"S18","TG"
"77","Poly-A FLNC Reads","S19.flnc.filter_summary.json",28825,"S19","WT"
"78","Poly-A FLNC Reads","S23.flnc.filter_summary.json",30207,"S23","WT"
"79","Poly-A FLNC Reads","T18.flnc.filter_summary.json",30252,"T18","TG"
"80","Poly-A FLNC Reads","T20.flnc.filter_summary.json",31625,"T20","TG"
"81","Transcripts","clustered.csv",4197,"K17","WT"
"82","Transcripts","clustered.csv",5673,"K18","TG"
"83","Transcripts","clustered.csv",4482,"K19","WT"
"84","Transcripts","clustered.csv",4876,"K20","TG"
"85","Transcripts","clustered.csv",4506,"K21","WT"
"86","Transcripts","clustered.csv",4684,"K23","WT"
"87","Transcripts","clustered.csv",2095,"K24","TG"
"88","Transcripts","clustered.csv",1493,"L18","TG"
"89","Transcripts","clustered.csv",2097,"L22","TG"
"90","Transcripts","clustered.csv",2573,"M21","WT"
"91","Transcripts","clustered.csv",2605,"O18","TG"
"92","Transcripts","clustered.csv",2118,"O22","TG"
"93","Transcripts","clustered.csv",2313,"O23","WT"
"94","Transcripts","clustered.csv",1976,"P19","WT"
"95","Transcripts","clustered.csv",1316,"Q17","WT"
"96","Transcripts","clustered.csv",3050,"Q18","TG"
"97","Transcripts","clustered.csv",2223,"Q20","TG"
"98","Transcripts","clustered.csv",2270,"Q21","WT"
"99","Transcripts","clustered.csv",1656,"Q23","WT"
"100","Transcripts","clustered.csv",2671,"S18","TG"
"101","Transcripts","clustered.csv",2260,"S19","WT"
"102","Transcripts","clustered.csv",2361,"S23","WT"
"103","Transcripts","clustered.csv",2286,"T18","TG"
"104","Transcripts","clustered.csv",2508,"T20","TG"
