Sample	Sample	Number of Iso-Seq Reads	Number of ONT Reads	Genotype	Age (months)
K19	Mouse 1	49638	-	WT	4
K23	Mouse 2	51020	-	WT	8
K21	Mouse 3	53727	-	WT	6
K18	Mouse 4	63328	-	TG	2
K20	Mouse 5	59153	-	TG	4
K17	Mouse 6	50058	-	WT	2
S19	Mouse 7	24293	738056	WT	4
K24	Mouse 8	25705	763528	TG	8
L22	Mouse 9	28081	807960	TG	8
M21	Mouse 10	27351	725260	WT	2
O18	Mouse 11	27135	824401	TG	2
O23	Mouse 12	24598	800543	WT	8
O22	Mouse 13	25283	765738	TG	6
P19	Mouse 14	22427	730010	WT	6
T20	Mouse 15	26239	819564	TG	6
Q20	Mouse 16	28114	1317511	TG	8
Q21	Mouse 17	23770	1080464	WT	2
S18	Mouse 18	27546	1131981	TG	2
S23	Mouse 19	24322	998458	WT	8
Q18	Mouse 20	32683	1295303	TG	6
Q17	Mouse 21	13861	666928	WT	6
L18	Mouse 22	16530	793802	TG	4
Q23	Mouse 23	18572	1117300	WT	4
T18	Mouse 24	24938	1150108	TG	4
