sample	time	group
K17	2	CONTROL
M21	2	CONTROL
L23	2	CONTROL
Q21	2	CONTROL
P23	2	CONTROL
S17	2	CONTROL
T23	2	CONTROL
K19	4	CONTROL
L17	4	CONTROL
M23	4	CONTROL
O19	4	CONTROL
P17	4	CONTROL
Q23	4	CONTROL
S19	4	CONTROL
T17	4	CONTROL
K21	6	CONTROL
M17	6	CONTROL
O21	6	CONTROL
P19	6	CONTROL
Q17	6	CONTROL
S21	6	CONTROL
T19	6	CONTROL
L21	8	CONTROL
M19	8	CONTROL
K23	8	CONTROL
P21	8	CONTROL
Q19	8	CONTROL
T21	8	CONTROL
O23	8	CONTROL
S23	8	CONTROL
K18	2	CASE
L24	2	CASE
M22	2	CASE
O18	2	CASE
P24	2	CASE
Q22	2	CASE
S18	2	CASE
T24	2	CASE
K20	4	CASE
L18	4	CASE
M24	4	CASE
O20	4	CASE
P18	4	CASE
Q24	4	CASE
S20	4	CASE
T18	4	CASE
M18	6	CASE
O22	6	CASE
P20	6	CASE
Q18	6	CASE
S22	6	CASE
T20	6	CASE
K24	8	CASE
L22	8	CASE
M20	8	CASE
O24	8	CASE
Q20	8	CASE
S24	8	CASE
T22	8	CASE
